podcast_name,podcast_id,rss_url,feed_name,validation_status,requested_count,actual_count,future,transcript_only,category,apple_id,match_score
safe to eat,2873a7f7939e,https://almartin82.github.io/safe-to-eat/feeds/podcast.xml,safe to eat,NEW,0,NEW,False,False,NEW,1737767437,100
"""Econ 102"" with Noah Smith and Erik Torenberg",33b514642545,https://feeds.simplecast.com/dG9scp92,"""Econ 102"" with Noah Smith and Erik Torenberg",NEW,0,NEW,False,False,NEW,1696419056,100
The Adam Friedland Show Podcast,815075a96f48,https://www.omnycontent.com/d/playlist/885ace83-027a-47ad-ad67-aca7002f1df8/ab07fc49-2efc-4de6-92bf-b2e3011e17e9/f377cab3-e9e0-4dc2-8356-b2e3011e1800/podcast.rss,The Adam Friedland Show Podcast,NEW,0,NEW,False,False,NEW,1113585468,100
The Ben & Marc Show,5145ba7397c0,https://feeds.simplecast.com/mAT9rqvu,The Ben & Marc Show,NEW,0,NEW,False,False,NEW,1713388101,100
The Axe Files with David Axelrod,886ce70dbf32,https://feeds.megaphone.fm/WMHY9284588779,The Axe Files with David Axelrod,NEW,0,NEW,False,False,NEW,1043593599,100
Uncanny Valley | WIRED,c98e4c2c9cd7,https://publicfeeds.net/f/5901/gadget-lab,Uncanny Valley | WIRED,NEW,0,NEW,False,False,NEW,266391367,100
Money Stuff: The Podcast,ad364741de0c,https://www.omnycontent.com/d/playlist/e73c998e-6e60-432f-8610-ae210140c5b1/ee4336cb-155f-4488-90e0-b1400134e40e/77e6a3a7-290d-4a82-8164-b14001353ef2/podcast.rss,Money Stuff: The Podcast,NEW,0,NEW,False,False,NEW,1739582836,100
Useful Idiots with Katie Halper and Aaron Maté,90bb434ae329,https://feeds.redcircle.com/7090379b-af2f-4972-a14d-b4041f474ee4,Useful Idiots with Katie Halper and Aaron Maté,NEW,0,NEW,False,False,NEW,1476110521,100
On the Media,2a8b8334698f,https://feeds.simplecast.com/o4jAFXaw,On the Media,NEW,0,NEW,False,False,NEW,73330715,100
Mixed Signals from Semafor Media,2b32ac59ef2e,https://feeds.megaphone.fm/mixed-signals-semafor-media,Mixed Signals from Semafor Media,NEW,0,NEW,False,False,NEW,1746776326,100
Scene on Radio,59628da4ff4f,https://feeds.sceneonradio.org/SceneOnRadio,Scene on Radio,NEW,0,NEW,False,False,NEW,1724033879,100
Shell Game,5a7fcf75e919,https://www.omnycontent.com/d/playlist/e73c998e-6e60-432f-8610-ae210140c5b1/d3d3abca-191a-4010-8160-b3530112d393/c639b22c-ee8c-43dd-86c1-b3530112d3a3/podcast.rss,Shell Game,NEW,0,NEW,False,False,NEW,1753117762,100
The Kevin Rose Show,7c8cb146b7aa,https://api.substack.com/feed/podcast/2776405.rss,The Kevin Rose Show,NEW,0,NEW,False,False,NEW,1088864895,100
Stavvy's World,5406c7822d32,https://audioboom.com/channels/5135319.rss,Stavvy's World,NEW,0,NEW,False,False,NEW,1657458632,100
Nice White Parents,1bf2e2f9dd4c,https://feeds.simplecast.com/Z4wHC1c2,Nice White Parents,NEW,0,NEW,False,False,NEW,1524080195,100
Babbage from The Economist,39341d45848f,https://feeds.acast.com/public/shows/e421d786-ec36-4148-aa99-7a3b2928a779,Babbage from The Economist,NEW,0,NEW,False,False,NEW,508376907,100
The Severance Podcast with Ben Stiller & Adam Scott,89b595258969,https://feeds.megaphone.fm/severance-ben-adam,The Severance Podcast with Ben Stiller & Adam Scott,NEW,0,NEW,False,False,NEW,1788381175,100
a16z Podcast,d59509f753df,https://feeds.simplecast.com/JGE3yC0V,a16z Podcast,NEW,0,NEW,False,False,NEW,842818711,100
Heavyweight,15007a0dbd16,https://www.omnycontent.com/d/playlist/e73c998e-6e60-432f-8610-ae210140c5b1/afbd76b8-eff2-442a-b938-b28e0126edad/d08826cd-f888-4cd3-b700-b28e0126edbb/podcast.rss,Heavyweight,NEW,0,NEW,False,False,NEW,1150800298,100
The Kevin Rose Show (private feed for substack@khamel.com),b3c7b046c506,https://api.substack.com/feed/podcast/2776405/private/52581fbd-98ce-4590-9f97-cf43525156c4.rss,The Kevin Rose Show (private feed for substack@khamel.com),NEW,0,NEW,False,False,NEW,,100
Latent Space: The AI Engineer Podcast,7fa72459bfa7,https://rss.flightcast.com/vgnxzgiwwzwke85ym53fjnzu.xml,Latent Space: The AI Engineer Podcast,NEW,0,NEW,False,False,NEW,1674008350,100
The Zach Lowe Show,d63dbb93e735,https://feeds.megaphone.fm/zach-lowe,The Zach Lowe Show,NEW,0,NEW,False,False,NEW,1805478723,100
The Daily Show: Ears Edition,be7950b24f81,https://feeds.megaphone.fm/QCD2422844292,The Daily Show: Ears Edition,NEW,0,NEW,False,False,NEW,1334878780,100
Dear Hank & John,7d2900eb8d5f,https://rss.art19.com/dear-hank-john,Dear Hank & John,NEW,0,NEW,False,False,NEW,1002937870,100
Lenny's Podcast: Product | Career | Growth,4d86a5afe192,https://api.substack.com/feed/podcast/10845/private/bc48b913-6532-4b94-84e4-5ec754d742cb.rss,Lenny's Podcast: Product | Career | Growth,NEW,0,NEW,False,False,NEW,,100
Lenny's Reads (private feed for substack@khamel.com),d61a62b59d2d,https://api.substack.com/feed/podcast/10845/s/215368/private/714e5619-b5af-4483-9c15-833fd5df5385.rss,Lenny's Reads (private feed for substack@khamel.com),NEW,0,NEW,False,False,NEW,,100
Lenny's Podcast: Product | Career | Growth (private feed for substack@khamel.com),3242282ee045,https://api.substack.com/feed/podcast/10845/private/714e5619-b5af-4483-9c15-833fd5df5385.rss,Lenny's Podcast: Product | Career | Growth (private feed for substack@khamel.com),NEW,0,NEW,False,False,NEW,,100
